numpar_candidates_eff,mv_incparty,mv_incpartyfor1,party_PT_wonlag1_b1,party_PMDB_wonlag1_b1,party_DEM_wonlag1_b1,party_PSDB_wonlag1_b1,population,pibpc
2.0822663,,,,,,,22211,
1.9464209,,,,,,,242445,
2.1842864,,,,,,,25948,
2.0363498,,,,,,,17368,
2.0802515,,,,,,,42407,
2.0918763,,,,,,,62712,
1.8698435,,,,,,,8386,
1.8482028,,,,,,,6644,
1.9999974,,,,,,,17842,
2.0446973,,,,,,,18144,
2.6260569,,,,,,,24565,
1.9919254,,,,,,,52267,
2.0753078,,,,,,,26904,
2.921452,,,,,,,56381,
2.6916502,,,,,,,183403,
3.0409667,,,,,,,16449,
1.8726774,,,,,,,14425,
2.0317779,,,,,,,15169,
1.8184766,,,,,,,15805,
2.9268239,,,,,,,7021,
1.9716959,,,,,,,13200,
1.6842014,,,,,,,9059,
2.1289027,,,,,,,26142,
2.6906462,,,,,,,62406,
2.2932813,,,,,,,8075,
1.9999459,,,,,,,29468,
1.9882746,,,,,,,4630,
2.0515952,,,,,,,23023,
3.7147641,,,,,,,17975,
2.0435212,,,,,,,14387,
2.9107826,,,,,,,11251,
2.2159882,,,,,,,54279,
1.9391547,,,,,,,24391,
1.9900483,,,,,,,10322,
1.9997368,,,,,,,7362,
2.0101275,,,,,,,15953,
2.0417061,,,,,,,11637,
1.9960722,,,,,,,13778,
3.664006,,,,,,,34804,
2.0165334,,,,,,,18727,
1.9905664,,,,,,,18580,
2.2183175,,,,,,,20671,
1.9726527,,,,,,,11230,
2.4123623,,,,,,,10243,
1.9908392,,,,,,,13589,
2.9341757,,,,,,,85556,
1.9605194,,,,,,,41621,
1.9910811,,,,,,,37365,
2.0066926,,,,,,,13539,
3.8715968,,,,,,,8840,
2.5486715,,,,,,,165345,
1.9758301,,,,,,,33357,
1.8296787,,,,,,,13619,
1.7773312,,,,,,,17141,
2.4215703,,,,,,,17787,
2.0390086,,,,,,,172065,
2.0043185,,,,,,,12049,
1.8404604,,,,,,,13111,
2.7874181,,,,,,,8550,
1.9999995,,,,,,,11253,
2.0068681,,,,,,,4929,
1.1212986,,,,,,,11903,
1.9794673,,,,,,,19626,
1,,,,,,,3758,
1,,,,,,,4471,
1.292824,,,,,,,9051,
1.9942616,,,,,,,10218,
1.9869863,,,,,,,21535,
2.4781368,,,,,,,97219,
2.3999684,,,,,,,9689,
1.9797926,,,,,,,13205,
1.9997141,,,,,,,,
1.4317472,,,,,,,10713,
1.9223313,,,,,,,17136,
2.0016482,,,,,,,38437,
1.9999011,,,,,,,7024,
2.070385,,,,,,,9961,
1.9916966,,,,,,,11506,
1.9801474,,,,,,,7402,
2.0525112,,,,,,,18877,
1.9570913,,,,,,,14963,
1.9989882,,,,,,,7550,
1.2834754,,,,,,,15510,
2.7899518,,,,,,,10841,
1.8048993,,,,,,,30134,
3.1037095,,,,,,,35936,
2.4791572,,,,,,,17880,
1.9651958,,,,,,,13421,
2.2024713,,,,,,,16508,
2.2655478,,,,,,,32452,
1.7097639,,,,,,,9729,
2.0333033,,,,,,,24043,
1.8252915,,,,,,,32148,
1.8483372,,,,,,,12072,
1.9781215,,,,,,,17031,
1.9667349,,,,,,,10706,
2.066334,,,,,,,52551,
1.8887383,,,,,,,8496,
2.7751138,,,,,,,31979,
1.9925406,,,,,,,12546,
1.5635252,,,,,,,13037,
2.7326868,,,,,,,23202,
1.9962035,,,,,,,14562,
1.9829626,,,,,,,21556,
2.0136507,,,,,,,6757,
1.9588407,,,,,,,9654,
3.5923052,,,,,,,27094,
1.8264869,,,,,,,19765,
2.2428765,,,,,,,25106,
1.9739438,,,,,,,16721,
1.8118985,,,,,,,10374,
1.99588,,,,,,,13826,
1.9771186,,,,,,,7151,
1.8118371,,,,,,,12494,
1.9340059,,,,,,,6476,
1.9993582,,,,,,,12610,
3.2637057,,,,,,,23445,
2.3430586,,,,,,,27323,
1.9434733,,,,,,,11192,
1.9863175,,,,,,,13248,
1,,,,,,,22637,
1.8432482,,,,,,,21287,
1.6192802,,,,,,,7440,
1.7345849,,,,,,,,
2.0689449,,,,,,,14136,
2.0381708,,,,,,,20652,
1.991334,,,,,,,10087,
1.7573893,,,,,,,24310,
2.3195674,,,,,,,24111,
1.7519858,,,,,,,26551,
2.8745954,,,,,,,13868,
1.8558977,,,,,,,93609,
1.9961356,,,,,,,12769,
2.4782374,,,,,,,7055,
1.9484178,,,,,,,15167,
1.9058621,,,,,,,17911,
1.9444581,,,,,,,31433,
2.0206008,,,,,,,24551,
1.9927039,,,,,,,10384,
2.0263891,,,,,,,17889,
1.8848181,,,,,,,14645,
1.1622505,,,,,,,19482,
2.5326631,,,,,,,7809,
2.006243,,,,,,,23677,
1.6896139,,,,,,,39380,
2.1471565,,,,,,,23544,
1.9705749,,,,,,,18023,
2.9493773,,,,,,,64957,
2.0358639,,,,,,,14660,
2.8687167,,,,,,,24227,
2.026082,,,,,,,12858,
1.999999,,,,,,,17166,
2.0777662,,,,,,,17928,
2.0912554,,,,,,,23820,
1.9954928,,,,,,,23944,
1.998103,,,,,,,14821,
1.9238402,,,,,,,21670,
2.0050914,,,,,,,34078,
1.9668469,,,,,,,11588,
2.3696625,,,,,,,21252,
1.9931018,,,,,,,30456,
1.9324059,,,,,,,28719,
1.9845736,,,,,,,13138,
2.0640278,,,,,,,42277,
1.7702641,,,,,,,13786,
1.7689201,,,,,,,13271,
2,,,,,,,13821,
1.9983574,,,,,,,10934,
2.1459868,,,,,,,30274,
1.9453698,,,,,,,5395,
3.1218359,,,,,,,28804,
1.3929316,,,,,,,9817,
2.7348053,,,,,,,2211539,
1.4466915,,,,,,,17289,
1.9931628,,,,,,,17089,
1.9092646,,,,,,,17334,
2.6590941,,,,,,,7071,
1.9675047,,,,,,,10812,
2.0217059,,,,,,,30895,
3.4045072,,,,,,,16260,
4.3505282,,,,,,,42095,
1.9953367,,,,,,,23859,
1.9841063,,,,,,,8721,
1.9833944,,,,,,,22845,
1.953418,,,,,,,8941,
4.5658302,,,,,,,56339,
2.211844,,,,,,,71932,
1.9900116,,,,,,,39311,
2.8512456,,,,,,,18693,
1.9581816,,,,,,,8423,
1.9819808,,,,,,,20219,
2.801106,,,,,,,13185,
2.7711492,,,,,,,12293,
1.9919264,,,,,,,24213,
1.9564564,,,,,,,18211,
2.0770862,,,,,,,26152,
1.9998765,,,,,,,6837,
2.3387036,,,,,,,15478,
1.9937075,,,,,,,10055,
2.1586826,,,,,,,38422,
1.9994565,,,,,,,15291,
2.1446753,,,,,,,15380,
2.5814989,,,,,,,9271,
1.6898425,,,,,,,17380,
1.8407781,,,,,,,40794,
1.9368064,,,,,,,8286,
2.1195395,,,,,,,84752,
2.2230949,,,,,,,30486,
2.0031741,,,,,,,29776,
1.848712,,,,,,,18828,
3.6755731,,,,,,,16751,
2.341949,,,,,,,78810,
2.2369027,,,,,,,12536,
1.4227273,,,,,,,78229,
1.8876778,,,,,,,9443,
1.6413909,,,,,,,13785,
1.7538041,,,,,,,20904,
1.202767,,,,,,,18686,
1.9990015,,,,,,,11742,
1.8749036,,,,,,,20270,
1.9442954,,,,,,,14206,
2.0502803,,,,,,,7788,
2.8587582,,,,,,,18631,
1.9892577,,,,,,,13779,
